Algorithm,Action,x1,x2,x3,x4,x5,x6
CFR,1,0.46101301508158726,0.0018499854248338005,0.004357401729417163,0.3268152574103657,0.20480884101098867,0.0011554993428073577
CFR,2,0.16969372653054707,0.00039387033074860255,0.00015055706112616685,0.6387750959796487,0.19029703022426828,0.0006897198736611884
CFR,3,0.3731379861059254,0.00014040999719180022,0.005989501426112082,0.385556266336345,0.2350134740031233,0.0001623621313023949
CFR,4,0.6312104277943967,0.00029550827423167615,0.00029550827423167615,0.14043943141116497,0.22746361597174336,0.00029550827423167615
DBCFR,1,0.9941964497902646,0.00013785497656465396,0.00013785497656465396,0.002922230860121616,0.002467754419919661,0.00013785497656465396
DBCFR,2,0.9953717050307819,8.744316194473591e-5,8.744316194473591e-5,0.003773419474129879,0.000592546009253827,8.744316194473591e-5
DBCFR,3,0.9904618634622964,0.0001692906720839682,0.0001692906720839682,0.0077385433338569955,0.0012917211875949517,0.0001692906720839682
DBCFR,4,0.99624300669449,8.726003490401395e-5,8.726003490401395e-5,0.0017476509557955795,0.0017475622450023383,8.726003490401395e-5
CCFR,1,0.7007212928272017,0.007807943765774503,0.0004252976702820149,0.2893285328255883,0.0011679939718544,0.0005489389392990208
CCFR,2,0.9799758326984136,0.0004650533110314477,0.0002897238006887367,0.016726994113905023,0.0022468704798360036,0.0002955255961250504
CCFR,3,0.9871541942820053,0.0107888613220624,0.0005171298474654926,0.0007847416363431025,0.00037734475572309163,0.00037772815640038816
CCFR,4,0.9999999999999991,1.1891696403740194e-24,1.1891696403740194e-24,4.3587224653352224e-16,3.929910704148671e-16,1.1891696403740194e-24
